x_Time_or_Temp,y_Yield
20,3.5716718909666167
21,3.425898683177974
22,3.4949691499579543
23,3.4635304518630514
24,3.509036766790354
25,3.529653999112822
26,3.3820808087189476
27,3.5048653571634403
28,3.410942909469447
29,3.4811562110587704
30,3.5742914412425697
31,3.5575952910914195
32,3.406125960558314
33,3.435766678609516
34,3.558075246105664
35,3.557153191940244
36,3.457136893017214
37,3.4996452370054696
38,3.602180433364649
39,3.5217301026791676
40,3.560321970754404
41,3.4222435793887644
42,3.4997045190913116
43,3.514428946698623
44,3.4806175875338443
45,3.5528899944957746
46,3.543671104629843
47,3.3952786080913633
48,3.455968271929794
49,3.5872217082900737
50,3.478438914889423
51,3.5516784144028355
52,3.540622561406544
53,3.5239958513819616
54,3.545404825338825
55,3.4406258854321456
56,3.3767683771464356
57,3.5132073260423398
58,3.522698216629886
59,3.420386474313263
